Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful,Cost,Batch,Pair,IdA,IdB
ec8e1b5b,"['{\n  ""conservatism"": ""circle"",\n  ""populism"": ""square""\n}']",,8.92232894897461,5792,448,506,,[],['resp_0cafe8726d99efcc0069a81a28f5308194981b571ce916ebe5'],True,0.003356,0,0,3002cd89,c6e1ffce
25049cf8,"['{\n  ""conservatism"": ""circle"",\n  ""populism"": ""circle""\n}']",,10.669816017150879,3359,512,552,,[],['resp_0d72ec07975af7a90069a81a2911708197b53d3ebc29836b5e'],True,0.00296775,0,3,3002cd89,aad77c96
bc30c2b4,"['{\n  ""conservatism"": ""circle"",\n  ""populism"": ""square""\n}']",,13.486124753952026,5469,640,713,,[],['resp_0cc5943053eb57450069a81a290fbc8199a4ae560032b82ada'],True,0.0040732500000000005,0,1,aad77c96,c6e1ffce
30696fc3,"['{\n  ""conservatism"": ""circle"",\n  ""populism"": ""square""\n}']",,14.206170082092285,8238,640,681,,[],['resp_05bb704d7e839a3b0069a81a2a67a8819393c6eb974c5353d4'],True,0.0047015,0,5,3002cd89,f11b7b4d
1fd8cef1,"['{\n  ""populism"": ""square"",\n  ""conservatism"": ""circle""\n}']",,13.611502170562744,7915,896,937,,[],['resp_0ab66ed06723721f0069a81a2b7bd8819583ef7f4194cb4a44'],True,0.0056447500000000005,0,6,aad77c96,f11b7b4d
9a1bc86f,"['{\n  ""populism"": ""square"",\n  ""conservatism"": ""circle""\n}']",,11.639859914779663,10782,512,556,,[],['resp_00afa763a255ef520069a81a2eede08199978fa5871006332e'],True,0.0048315,0,9,50492a6c,e0c703ec
33b75eae,"['{\n  ""populism"": ""circle"",\n  ""conservatism"": ""square""\n}']",,17.642709016799927,10348,960,1020,,[],['resp_07e30b6400608e470069a81a2922d4819b859c759964ce248c'],True,0.006547,0,2,c6e1ffce,f11b7b4d
22b57cef,"['{\n  ""conservatism"": ""circle"",\n  ""populism"": ""square""\n}']",,11.431108236312866,54708,512,602,,[],['resp_044425c52f6216130069a81a305b08819ab1155cd9448dea23'],True,0.015905,0,10,96be3758,dd2a0120
3c2a1bf7,"['{\n  ""populism"": ""square"",\n  ""conservatism"": ""circle""\n}']",,16.01631474494934,6280,768,805,,[],['resp_0f520b0cf9f5d4b40069a81a2c9b9c8198a8b10d989193bb53'],True,0.004716,0,7,3002cd89,57004c56
5daf4662,"['{\n  ""populism"": ""square"",\n  ""conservatism"": ""circle""\n}']",,10.405077934265137,39504,512,555,,[],['resp_0764fc791a663bff0069a81a32f1588193ae5fe1e668eeaf0e'],True,0.01201,0,13,4255acdc,dd2a0120
ee216b3e,"['{\n  ""populism"": ""circle"",\n  ""conservatism"": ""square""\n}']",,8.416410684585571,7007,448,509,,[],['resp_0f08060f5bee06330069a81a34a340819a91f66f8c8099e4c7'],True,0.0036657499999999997,0,16,57004c56,6ae62ae3
23444899,"['{\n  ""populism"": ""circle"",\n  ""conservatism"": ""square""\n}']",,20.326745986938477,5981,832,867,,[],['resp_0de5eec225722be70069a81a2912a08198bb7f6777159a376c'],True,0.00489325,0,4,101cb9f8,3002cd89
f1e7de40,"['{\n  ""conservatism"": ""circle"",\n  ""populism"": ""square""\n}']",,12.94948697090149,34128,704,756,,[],['resp_0cbbc2909bc103660069a81a33c4748194987485f29137587a'],True,0.011452,0,15,6f887208,dd2a0120
cbca9be1,"['{\n  ""populism"": ""square"",\n  ""conservatism"": ""circle""\n}']",,12.634187936782837,37604,640,705,,[],['resp_03a9e24e8e98188c0069a81a3698cc819595fc7725ac600466'],True,0.012091,0,18,256801d6,90db1316
92b2dc54,"['{\n  ""conservatism"": ""square"",\n  ""populism"": ""circle""\n}']",,15.198240041732788,30486,768,849,,[],['resp_092ee993bfaee4660069a81a35ee808198a2fc1a9699f68c5b'],True,0.0108555,0,17,7452c3c8,90db1316
85482e09,"['{\n  ""populism"": ""square"",\n  ""conservatism"": ""circle""\n}']",,12.26822304725647,34148,576,646,,[],['resp_02060f2d5fb978570069a81a3920a481909f191ac6b02eaccc'],True,0.010981,0,21,b58e84a7,dd2a0120
3341c006,"['{\n  ""conservatism"": ""square"",\n  ""populism"": ""circle""\n}']",,10.186935186386108,12656,576,653,,[],['resp_07ad9ca15211dfd70069a81a3b651c819695ae40801447f2a0'],True,0.005622,0,24,57004c56,6317e903
c1f6e952,"['{\n  ""populism"": ""square"",\n  ""conservatism"": ""circle""\n}']",,20.120424032211304,8091,704,783,,[],['resp_0738494a0fd8c4640069a81a31ec3881959ffd78f816379253'],True,0.0049967499999999995,0,12,101cb9f8,c6e1ffce
1686a593,"['{\n  ""conservatism"": ""square"",\n  ""populism"": ""circle""\n}']",,15.228461980819702,6708,960,1010,,[],['resp_0f6c21cba35c2bf10069a81a36ea608193a318cb6444a75e92'],True,0.0056170000000000005,0,19,101cb9f8,6ae62ae3
7906a8cf,"['{\n  ""populism"": ""square"",\n  ""conservatism"": ""circle""\n}']",,9.99386715888977,11572,576,640,,[],['resp_04f538b316450b4b0069a81a3ca8c481948ed28d4849fa049d'],True,0.005325,0,26,6317e903,7452c3c8
e3219b74,"['{\n  ""conservatism"": ""circle"",\n  ""populism"": ""square""\n}']",,14.138153791427612,6519,832,889,,[],['resp_05ba2f285ab2164d0069a81a3a71548198a8884ad875e18f26'],True,0.00507175,0,22,6ae62ae3,c6e1ffce
df9c7462,"['{\n  ""populism"": ""square"",\n  ""conservatism"": ""circle""\n}']",,16.22714066505432,13828,576,664,,[],['resp_0e752df97f254c540069a81a3870a881969bea2a8685984445'],True,0.005937,0,20,256801d6,7452c3c8
05f50c94,"['{\n  ""populism"": ""square"",\n  ""conservatism"": ""circle""\n}']",,24.48621416091919,4409,1024,1064,,[],['resp_048639a7ffd221fb0069a81a312f548190be7c9e10bbf880a8'],True,0.00527825,0,11,3002cd89,6ae62ae3
c398702e,"['{\n  ""populism"": ""square"",\n  ""conservatism"": ""circle""\n}']",,14.992823839187622,38997,960,1011,,[],['resp_00092f95ef2f39170069a81a3ae610819698bb141f685bc07c'],True,0.013691249999999999,0,23,3b77f34c,5d3d79df
eaebdbd3,"['{\n  ""conservatism"": ""circle"",\n  ""populism"": ""square""\n}']",,14.266376972198486,35348,896,926,,[],['resp_0e967f7528989acc0069a81a3cbd888198b4003ba81e2990fa'],True,0.012480999999999999,0,25,6317e903,90db1316
d2023c57,"['{\n  ""conservatism"": ""square"",\n  ""populism"": ""circle""\n}']",,14.238348960876465,31570,832,919,,[],['resp_06cbf5c3a750d7ff0069a81a3d11bc819789f15c64727fcaf1'],True,0.0113945,0,27,57004c56,90db1316
5d6f3e8f,"['{\n  ""conservatism"": ""square"",\n  ""populism"": ""circle""\n}']",,14.291648149490356,12357,768,811,,[],['resp_016853be1a9a56540069a81a3d535c8199b9996f65cb6932bb'],True,0.00624725,0,28,101cb9f8,6317e903
ebecc3a7,"['{\n  ""conservatism"": ""square"",\n  ""populism"": ""square""\n}']",,30.330669164657593,8579,1344,1413,,[],['resp_02fba2867000aafe0069a81a2dba648199a633275c651cbc2d'],True,0.00765875,0,8,101cb9f8,57004c56
3e1dafc1,"['{\n  ""populism"": ""circle"",\n  ""conservatism"": ""square""\n}']",,11.744515895843506,26256,640,724,,[],['resp_09cf164ad916d36c0069a81a40b4e881959dbd95d0e38a5ca1'],True,0.009292,0,29,5d3d79df,d0e93f5e
489b103d,"['{\n  ""populism"": ""square"",\n  ""conservatism"": ""circle""\n}']",,26.44315004348755,8390,1088,1156,,[],['resp_0227d2397b69a9900069a81a3381e8819a9d6cca55ae438cb8'],True,0.006585499999999999,0,14,57004c56,c6e1ffce
73706e23,"['{\n  ""populism"": ""square"",\n  ""conservatism"": ""circle""\n}']",,10.557013988494873,5923,512,569,,[],['resp_00e823752c4715880069a81a46b66c8193b20a97042f78c6cb'],True,0.00364275,0,39,6ae62ae3,7452c3c8
55747c9b,"['{\n  ""conservatism"": ""circle"",\n  ""populism"": ""square""\n}']",,14.346904039382935,33972,768,839,,[],['resp_092f74e83930c8ac0069a81a451a80819b81106b74e83ae4d6'],True,0.011707,0,31,7093a206,90db1316
66cad4d4,"['{\n  ""populism"": ""circle"",\n  ""conservatism"": ""circle""\n}']",,13.464363813400269,10196,640,678,,[],['resp_02ae4e8eb42dc9020069a81a4813148198828519772066bb87'],True,0.005185,0,35,7093a206,7452c3c8
7315ecba,"['{\n  ""conservatism"": ""square"",\n  ""populism"": ""circle""\n}']",,18.775424003601074,31271,1152,1218,,[],['resp_04a3f4fa7a78f6820069a81a4353448190b0b2a52f23fa75d6'],True,0.01255775,0,30,101cb9f8,90db1316
d512dd94,"['{\n  ""populism"": ""circle"",\n  ""conservatism"": ""circle""\n}']",,15.245426893234253,7380,640,703,,[],['resp_0a21ba2e95b514cb0069a81a494400819b8bdb070925e6d18e'],True,0.004531,0,41,5fbf744c,7452c3c8
151ed654,"['{\n  ""conservatism"": ""circle"",\n  ""populism"": ""square""\n}']",,11.884865999221802,12967,640,699,,[],['resp_0deb8f86d406ee9e0069a81a5065388193b16960d48af72d65'],True,0.00591975,0,37,323c5b64,ef7d4284
cfe50fb6,"['{\n  ""populism"": ""insufficient signal"",\n  ""conservatism"": ""square""\n}']",,23.51786708831787,18690,1216,1274,,[],['resp_05e21c5a29e65b6c0069a81a4584148196a238a673da576871'],True,0.0096525,0,32,256801d6,6317e903
ecb7b273,"['{\n  ""conservatism"": ""circle"",\n  ""populism"": ""square""\n}']",,20.389835119247437,10736,896,952,,[],['resp_081b94338e99df9c0069a81a4adb18819a86ff9171f7f3be02'],True,0.00638,0,34,4255acdc,6f887208
765e054d,"['{\n  ""conservatism"": ""circle"",\n  ""populism"": ""circle""\n}']",,15.061378717422485,7905,832,904,,[],['resp_038995bb5e3529530069a81a51ac4881998a76d410dbe21436'],True,0.00544825,0,50,b58e84a7,be8a322e
34947a27,"['{\n  ""conservatism"": ""square"",\n  ""populism"": ""insufficient signal""\n}']",,21.983665943145752,10785,1088,1150,,[],['resp_0218abaf9378c6a90069a81a4c9754819bbe36a603e5466c21'],True,0.00717225,0,36,6317e903,6ae62ae3
280d3031,"['{\n  ""conservatism"": ""circle"",\n  ""populism"": ""square""\n}']",,12.927173137664795,15137,704,787,,[],['resp_0e75c0ce05f580a90069a81a584d3c819bb5e7fe240e37bc56'],True,0.00676625,0,46,2f926b27,323c5b64
a86af080,"['{\n    ""populism"": ""circle"",\n    ""conservatism"": ""square""\n}']",,23.396227836608887,10866,768,815,,[],['resp_06ff996517ae77040069a81a4e5bf881989c18da07b9a209a8'],True,0.005882500000000001,0,38,5fbf744c,7093a206
b45ee2db,"['{\n  ""conservatism"": ""square"",\n  ""populism"": ""square""\n}']",,18.40696120262146,14498,1088,1122,,[],['resp_0317606f9364bc500069a81a55f3448197bb8845f1950a3d9d'],True,0.0080445,0,42,256801d6,5fbf744c
c4e78212,"['{\n  ""populism"": ""square"",\n  ""conservatism"": ""circle""\n}']",,23.869738340377808,11351,1024,1091,,[],['resp_0a64409bb507d9570069a81a5382c0819a977641765f02da72'],True,0.00706775,0,51,be8a322e,ef7d4284
a9c378da,"['{\n  ""conservatism"": ""circle"",\n  ""populism"": ""square""\n}']",,19.063674688339233,15756,1152,1204,,[],['resp_0d62f715aefd848c0069a81a5a99b88198a658ce4f68bb4a2d'],True,0.008650999999999999,0,48,1989c6eb,5fbf744c
dc803f54,"['{\n  ""conservatism"": ""square"",\n  ""populism"": ""insufficient signal""\n}']",,18.98433804512024,17314,832,898,,[],['resp_08ea2240b9bc11260069a81a5d44e0819687d37ac172bc7774'],True,0.0077885,0,40,256801d6,7093a206
2ba7d06c,"['{\n  ""conservatism"": ""square"",\n  ""populism"": ""circle""\n}']",,18.038119316101074,18572,1088,1147,,[],['resp_056819ac8bedd5830069a81a601c18819aac4b50f6a573b775'],True,0.009113,0,55,1989c6eb,7093a206
