text,optimistic about technology,optimistic about technology_raw,optimistic about technology_se,anger,anger_raw,anger_se,formality,formality_raw,formality_se,toxicity towards other users,toxicity towards other users_raw,toxicity towards other users_se,use of logic,use of logic_raw,use of logic_se
"While your conclusion is careless, the deployment will likely improve consumer surplus.",0.753630534349458,1.4144564654399183,0.7623664066777445,0.546690192153913,1.064406221114584,0.7569401307794449,0.35795896319606346,1.0905074113442463,0.7920607315218595,1.120723642947752,1.7591338782150463,0.9191692009342849,-0.30589560556897805,-0.6182605163363875,0.6613721279619854
R&D intensity rose from 12% to 18% YoY; margins may compress before productivity gains materialize.,-0.5645119060997541,-1.0595079140335837,0.4916700723972712,-0.7082265595614199,-1.3789176516697421,0.47062751823125526,0.9802876193028196,2.9864063314799765,0.8363774865936241,-0.5210219862066497,-0.8178175172786458,0.413829092061505,1.6469334964006712,3.3286975534101417,1.1752928490376835
That take is clown shoes—learn the basics before posting.,-0.7746730492512844,-1.4539502490585672,0.501598600390517,2.498866578024333,4.86529513343744,1.5827978801258153,-1.5453485071055135,-4.707841326451975,0.9897139466178506,2.4982980202083866,3.921431222479383,1.3714238789251256,-1.0348294949072736,-2.091544324906045,0.5574529784322395
Low-key hyped for on-device models—privacy win without the lag.,2.064986942842725,3.875684435841229,1.5539929586703414,-0.9199385394808364,-1.7911210380573093,0.5856854261556571,-1.096397194353212,-3.340129425853595,0.8273404895509863,-0.5911783111801637,-0.9279377675371,0.45646426139328355,-0.22157894850026172,-0.44784401153534786,0.5637535258701115
@mina you’re right; the vendor ghosted us again—unacceptable.,-0.7548309067443805,-1.4167093923285552,0.5047028674304854,1.176888720852467,2.2914032371780215,0.9769108627818269,-0.9399015667855342,-2.8633718663228205,0.8171737010019341,-0.4080813239320145,-0.6405412132713634,0.4562595527655568,-0.7685277607677683,-1.55330891173585,0.4953961756645262
I concur with @lee: the policy update meaningfully strengthens user control.,-0.6279384591547955,-1.17855046069302,0.48850579161214874,-0.8865980229346966,-1.726207026911315,0.548454353102102,0.6641437331649316,2.023286850391006,1.123145300479596,-0.5092034314431939,-0.7992666281216619,0.42909373967470604,-0.6191814234946134,-1.251457751031196,0.4752886752015852
Subscription gating for security patches undermines trust.,-0.7430433395184347,-1.3945858186215279,0.4781526633166349,-0.6961796126454358,-1.355462236835447,0.5345082539155066,-0.10973854967135621,-0.3343140248767451,0.8717023146140247,-0.7849167186245282,-1.2320375321770256,0.4519296210870118,-0.4728335927512891,-0.9556670180071649,0.5028853835065016
Empirical evidence suggests platform concentration exacerbates rent extraction absent interoperability mandates.,-0.805267861839671,-1.5113723259279996,0.488840296804817,-0.6597992383239154,-1.2846296202821184,0.46713784995185015,1.7072379325403704,5.201030871640921,1.023819461619865,-0.622490150354522,-0.9770861168446577,0.4326084962666702,0.8703806326793817,1.7591687149889512,0.827795979348725
New chips slap; battery life finally sane.,1.4860380908915052,2.7890804442602586,1.1949765111821031,-0.8639369989484758,-1.6820859959253238,0.5337076668596561,-1.520590459956984,-4.63241694354277,0.8730294019635947,-0.4860501232729885,-0.7629242442955894,0.40327871947798066,-0.6658106231654006,-1.3457022989748986,0.4454151052283321
"Your deterministic framing is naïve; nonetheless, the architecture promises substantial welfare gains.",2.1712759697190664,4.075173700697429,1.4550382342655745,0.8137189506337889,1.5843114175525392,0.7993546697038738,0.5572761263604343,1.6977190361019279,0.7871599249026611,2.128390801458778,3.340809653198296,1.343959540114582,-0.3451293609853668,-0.6975577714781658,0.6522711025573743
